date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:39:09	151485/151485	---M-Z	200	added ('OK')	text/html	date:Sat,%2012%20Nov%202022%2023:47:52%20GMT	https://chai.ml/chat/share/_bot_da0d4b3c-ce5f-4ff9-85c8-33335c227802	C:/My%20Web%20Sites/ChatBOT/chai.ml/chat/share/_bot_da0d4b3c-ce5f-4ff9-85c8-33335c227802.html	(from )
18:39:09	101/101	---M-Z	200	added ('OK')	text/plain	date:Sat,%2012%20Nov%202022%2023:47:52%20GMT	https://chai.ml/robots.txt		(from )
18:39:10	228114/228114	---M-Z	200	added ('OK')	text/css	date:Sat,%2012%20Nov%202022%2023:47:52%20GMT	https://chai.ml/_next/static/css/7fe20d4611f6bced498c.css	C:/My%20Web%20Sites/ChatBOT/chai.ml/_next/static/css/7fe20d4611f6bced498c.css	(from https://chai.ml/chat/share/_bot_da0d4b3c-ce5f-4ff9-85c8-33335c227802)
18:39:10	1539/1539	---M-Z	200	added ('OK')	text/javascript	date:Sat,%2012%20Nov%202022%2023:47:52%20GMT	https://chai.ml/_next/static/chunks/webpack-50bee04d1dc61f8adf5b.js	C:/My%20Web%20Sites/ChatBOT/chai.ml/_next/static/chunks/webpack-50bee04d1dc61f8adf5b.js	(from https://chai.ml/chat/share/_bot_da0d4b3c-ce5f-4ff9-85c8-33335c227802)
18:39:10	131077/131077	---M-Z	200	added ('OK')	text/javascript	date:Sat,%2012%20Nov%202022%2023:47:52%20GMT	https://chai.ml/_next/static/chunks/framework.da6e78c416fe44b6a1a8.js	C:/My%20Web%20Sites/ChatBOT/chai.ml/_next/static/chunks/framework.da6e78c416fe44b6a1a8.js	(from https://chai.ml/chat/share/_bot_da0d4b3c-ce5f-4ff9-85c8-33335c227802)
18:39:10	40914/40914	---M-Z	200	added ('OK')	text/javascript	date:Sat,%2012%20Nov%202022%2023:47:52%20GMT	https://chai.ml/_next/static/chunks/commons.5dd77e7acc883abc18c0.js	C:/My%20Web%20Sites/ChatBOT/chai.ml/_next/static/chunks/commons.5dd77e7acc883abc18c0.js	(from https://chai.ml/chat/share/_bot_da0d4b3c-ce5f-4ff9-85c8-33335c227802)
18:39:10	19995/19995	---M-Z	200	added ('OK')	text/javascript	date:Sat,%2012%20Nov%202022%2023:47:52%20GMT	https://chai.ml/_next/static/chunks/main-85184f872533cca48b5c.js	C:/My%20Web%20Sites/ChatBOT/chai.ml/_next/static/chunks/main-85184f872533cca48b5c.js	(from https://chai.ml/chat/share/_bot_da0d4b3c-ce5f-4ff9-85c8-33335c227802)
18:39:11	1235/1235	---M-Z	200	added ('OK')	text/javascript	date:Sat,%2012%20Nov%202022%2023:47:52%20GMT	https://chai.ml/_next/static/chunks/pages/_app-77a5e6e0b8b63b946a72.js	C:/My%20Web%20Sites/ChatBOT/chai.ml/_next/static/chunks/pages/_app-77a5e6e0b8b63b946a72.js	(from https://chai.ml/chat/share/_bot_da0d4b3c-ce5f-4ff9-85c8-33335c227802)
18:39:11	181509/181509	---M-Z	200	added ('OK')	text/javascript	date:Sat,%2012%20Nov%202022%2023:47:52%20GMT	https://chai.ml/_next/static/chunks/ff239f9d.6cb927541beeb7711788.js	C:/My%20Web%20Sites/ChatBOT/chai.ml/_next/static/chunks/ff239f9d.6cb927541beeb7711788.js	(from https://chai.ml/chat/share/_bot_da0d4b3c-ce5f-4ff9-85c8-33335c227802)
18:39:11	174840/174840	---M-Z	200	added ('OK')	text/javascript	date:Sat,%2012%20Nov%202022%2023:47:52%20GMT	https://chai.ml/_next/static/chunks/d91e9ae9.3d0fc347d9380a728ebb.js	C:/My%20Web%20Sites/ChatBOT/chai.ml/_next/static/chunks/d91e9ae9.3d0fc347d9380a728ebb.js	(from https://chai.ml/chat/share/_bot_da0d4b3c-ce5f-4ff9-85c8-33335c227802)
18:39:12	4540/4540	---M-Z	200	added ('OK')	text/javascript	date:Sat,%2012%20Nov%202022%2023:47:52%20GMT	https://chai.ml/_next/static/chunks/cb1608f2.ebe81bd496abb910797d.js	C:/My%20Web%20Sites/ChatBOT/chai.ml/_next/static/chunks/cb1608f2.ebe81bd496abb910797d.js	(from https://chai.ml/chat/share/_bot_da0d4b3c-ce5f-4ff9-85c8-33335c227802)
18:39:12	71727/71727	---M-Z	200	added ('OK')	text/javascript	date:Sat,%2012%20Nov%202022%2023:47:52%20GMT	https://chai.ml/_next/static/chunks/29107295.837a9d12c8e416b71c1b.js	C:/My%20Web%20Sites/ChatBOT/chai.ml/_next/static/chunks/29107295.837a9d12c8e416b71c1b.js	(from https://chai.ml/chat/share/_bot_da0d4b3c-ce5f-4ff9-85c8-33335c227802)
18:39:12	60268/60268	---M-Z	200	added ('OK')	text/javascript	date:Sat,%2012%20Nov%202022%2023:47:52%20GMT	https://chai.ml/_next/static/chunks/75fc9c18.60c1ab7504f6eb9ff2f2.js	C:/My%20Web%20Sites/ChatBOT/chai.ml/_next/static/chunks/75fc9c18.60c1ab7504f6eb9ff2f2.js	(from https://chai.ml/chat/share/_bot_da0d4b3c-ce5f-4ff9-85c8-33335c227802)
18:39:12	11604/11604	---M-Z	200	added ('OK')	image/png	date:Sat,%2012%20Nov%202022%2023:47:52%20GMT	https://chai.ml/images/googleplay.png	C:/My%20Web%20Sites/ChatBOT/chai.ml/images/googleplay.png	(from https://chai.ml/chat/share/_bot_da0d4b3c-ce5f-4ff9-85c8-33335c227802)
18:39:12	3949724/3949724	---M-Z	200	added ('OK')	text/javascript	date:Sat,%2012%20Nov%202022%2023:47:52%20GMT	https://chai.ml/_next/static/chunks/pages/%5B%5B...slug%5D%5D-670207c11f4e2949ad5b.js	C:/My%20Web%20Sites/ChatBOT/chai.ml/_next/static/chunks/pages/[[...slug]]-670207c11f4e2949ad5b.js	(from https://chai.ml/chat/share/_bot_da0d4b3c-ce5f-4ff9-85c8-33335c227802)
